muestra_id,turno,n_inspeccion,defectuosas,llamadas_soporte
190,Dia,20,1,5
191,Dia,20,3,5
192,Noche,20,4,2
193,Dia,20,0,2
194,Dia,20,0,3
195,Dia,20,1,1
196,Dia,20,1,2
197,Noche,20,5,2
198,Dia,20,2,4
199,Noche,20,2,3
200,Dia,20,2,0
201,Noche,20,0,5
202,Dia,20,0,3
203,Noche,20,1,7
204,Noche,20,2,2
205,Dia,20,0,3
206,Noche,20,3,2
207,Noche,20,0,1
208,Noche,20,2,7
209,Dia,20,1,5
210,Noche,20,5,4
211,Dia,20,0,3
212,Dia,20,1,1
213,Dia,20,1,4
214,Dia,20,0,3
215,Dia,20,1,3
216,Noche,20,0,3
217,Dia,20,3,1
218,Noche,20,0,4
219,Dia,20,3,3
220,Noche,20,2,2
221,Noche,20,0,2
222,Noche,20,3,4
223,Dia,20,1,5
224,Dia,20,2,1
225,Dia,20,0,2
226,Dia,20,1,0
227,Dia,20,1,2
228,Dia,20,1,3
229,Dia,20,3,4
230,Dia,20,0,3
231,Dia,20,0,2
232,Dia,20,1,1
233,Dia,20,1,5
234,Dia,20,2,3
235,Noche,20,2,5
236,Dia,20,1,6
237,Dia,20,2,6
238,Dia,20,0,5
239,Dia,20,0,2
240,Dia,20,1,4
241,Dia,20,1,2
242,Dia,20,2,2
243,Noche,20,1,5
244,Noche,20,1,4
245,Noche,20,3,2
246,Dia,20,3,1
247,Noche,20,2,0
248,Dia,20,3,7
249,Noche,20,2,2
250,Dia,20,0,3
