id,tiempo,atrasado
267,18.325,0
268,30.059,1
269,20.064,0
270,20.846,0
271,17.92,0
272,11.005,0
273,18.068,0
274,10.058,0
275,15.821,0
276,16.655,0
277,17.53,0
278,21.607,0
279,24.09,1
280,20.875,0
281,21.227,0
282,25.032,1
283,15.48,0
284,26.714,1
285,36.254,1
286,19.11,0
287,23.356,0
288,21.204,0
289,31.546,1
290,26.33,1
291,12.452,0
292,27.531,1
293,13.562,0
294,6.655,0
295,20.338,0
296,15.421,0
297,13.125,0
298,34.388,1
299,32.95,1
300,19.423,0
301,15.691,0
302,13.279,0
303,17.955,0
304,19.836,0
305,23.982,0
306,22.383,0
307,20.994,0
308,13.911,0
309,19.537,0
310,17.994,0
311,15.562,0
312,14.937,0
313,14.423,0
314,20.813,0
315,10.595,0
316,14.19,0
317,12.301,0
318,12.603,0
319,22.74,0
320,18.691,0
321,15.259,0
322,16.188,0
323,33.791,1
324,11.567,0
325,30.334,1
326,17.528,0
327,8.865,0
328,30.139,1
329,13.483,0
330,37.146,1
331,23.161,0
332,33.655,1
333,26.627,1
334,19.844,0
335,6.149,0
336,37.857,1
337,19.7,0
338,17.912,0
339,9.52,0
340,12.904,0
341,31.775,1
342,28.144,1
343,22.431,0
344,19.83,0
345,22.678,0
346,22.978,0
347,13.921,0
348,19.641,0
349,23.41,0
350,25.966,1
351,13.123,0
352,24.057,1
353,20.937,0
354,27.088,1
355,14.924,0
356,36.675,1
357,26.182,1
358,14.154,0
359,20.029,0
360,17.731,0
361,23.104,0
362,28.976,1
363,27.048,1
364,19.142,0
365,12.376,0
366,21.798,0
367,7.235,0
368,20.515,0
369,28.802,1
370,15.938,0
371,11.252,0
372,13.636,0
373,23.635,0
374,25.163,1
375,20.644,0
376,27.861,1
377,13.195,0
378,23.84,0
379,27.238,1
380,29.398,1
381,15.429,0
382,14.947,0
383,30.913,1
384,17.993,0
385,16.051,0
386,23.786,0
387,14.934,0
388,17.401,0
389,16.701,0
390,21.767,0
391,15.561,0
392,27.265,1
393,19.428,0
394,17.122,0
395,12.823,0
396,19.793,0
397,16.736,0
398,9.424,0
399,13.282,0
400,8.768,0
401,16.735,0
402,14.563,0
403,20.116,0
404,29.308,1
405,24.147,1
406,11.238,0
407,14.699,0
408,25.722,1
409,15.925,0
410,21.48,0
411,21.281,0
412,28.731,1
413,15.282,0
414,23.784,0
415,16.716,0
416,13.818,0
417,12.712,0
418,28.495,1
419,17.053,0
420,24.97,1
421,17.08,0
422,22.797,0
423,18.175,0
424,26.719,1
425,22.359,0
426,14.201,0
427,14.544,0
428,31.577,1
429,23.422,0
430,17.852,0
431,25.766,1
432,20.839,0
433,25.816,1
434,18.519,0
435,18.001,0
436,24.641,1
437,13.536,0
438,31.294,1
439,16.772,0
440,21.711,0
441,25.825,1
442,34.88,1
443,22.136,0
444,15.606,0
445,15.042,0
446,20.265,0
447,23.372,0
448,16.293,0
449,20.821,0
450,16.509,0
451,17.328,0
452,21.189,0
453,22.684,0
454,19.23,0
455,32.642,1
456,16.488,0
457,21.738,0
458,23.21,0
459,34.545,1
460,19.425,0
461,21.0,0
462,31.812,1
463,14.914,0
464,17.015,0
465,12.934,0
466,11.01,0
467,20.723,0
468,21.08,0
469,14.011,0
470,23.917,0
471,19.487,0
472,23.451,0
473,19.45,0
474,22.375,0
475,17.893,0
476,13.936,0
477,24.342,1
478,19.046,0
479,20.638,0
480,20.224,0
481,30.673,1
482,24.251,1
483,15.754,0
484,26.291,1
485,37.082,1
486,9.997,0
487,22.924,0
488,16.031,0
489,19.055,0
490,13.325,0
491,16.394,0
492,18.134,0
493,16.306,0
494,19.598,0
495,25.348,1
496,17.266,0
497,28.972,1
498,16.026,0
499,18.623,0
500,18.368,0
501,17.353,0
502,22.759,0
503,16.671,0
504,16.539,0
505,9.129,0
506,18.555,0
507,19.384,0
508,18.021,0
509,17.701,0
510,23.087,0
511,13.097,0
512,22.856,0
513,17.906,0
514,10.931,0
515,26.265,1
516,20.14,0
517,38.207,1
518,12.357,0
519,15.133,0
520,12.666,0
521,17.825,0
522,16.32,0
523,16.664,0
524,26.189,1
525,11.766,0
526,20.663,0
527,21.802,0
528,15.278,0
529,30.057,1
530,20.985,0
531,18.822,0
532,15.343,0
533,34.493,1
534,20.453,0
535,17.717,0
536,20.351,0
537,23.838,0
538,8.348,0
539,24.929,1
540,17.383,0
541,14.035,0
542,12.155,0
543,12.655,0
544,18.316,0
545,13.784,0
546,11.56,0
547,19.694,0
548,32.79,1
549,24.476,1
550,29.411,1
551,25.353,1
552,22.54,0
553,14.656,0
554,19.089,0
555,17.602,0
556,21.626,0
557,17.015,0
558,8.0,0
559,19.942,0
560,15.991,0
561,18.324,0
562,25.724,1
563,23.697,0
564,17.028,0
565,12.812,0
566,20.066,0
567,24.449,1
568,18.045,0
569,18.153,0
570,18.522,0
571,13.186,0
572,17.345,0
573,18.216,0
574,22.077,0
575,12.345,0
576,30.037,1
577,13.767,0
578,22.264,0
579,28.426,1
580,17.327,0
581,20.966,0
582,26.514,1
583,33.551,1
584,23.491,0
585,15.498,0
586,22.082,0
587,17.87,0
588,25.727,1
589,24.07,1
590,15.791,0
591,21.001,0
592,14.472,0
593,21.076,0
594,19.695,0
595,24.011,1
596,22.338,0
597,17.697,0
598,21.978,0
599,19.015,0
600,24.566,1
601,20.482,0
602,22.751,0
603,24.068,1
604,17.925,0
605,10.339,0
606,31.542,1
607,18.989,0
608,17.59,0
609,20.581,0
610,25.762,1
611,27.872,1
612,24.734,1
613,32.56,1
614,21.482,0
615,12.321,0
616,19.763,0
617,33.691,1
618,13.434,0
619,21.133,0
620,19.356,0
621,24.768,1
622,15.111,0
623,24.646,1
624,14.757,0
625,15.89,0
626,22.758,0
627,20.712,0
628,15.386,0
629,14.402,0
630,29.53,1
631,26.067,1
632,23.779,0
633,15.239,0
634,21.594,0
635,23.126,0
636,13.22,0
637,21.446,0
638,17.396,0
639,9.701,0
640,14.499,0
641,24.17,1
642,15.001,0
643,24.061,1
644,15.561,0
645,11.407,0
646,19.434,0
647,14.925,0
648,19.183,0
649,21.32,0
650,14.096,0
651,21.629,0
652,21.175,0
653,13.339,0
654,10.871,0
655,18.079,0
656,19.592,0
657,13.717,0
658,26.473,1
659,46.946,1
660,16.137,0
661,27.074,1
662,28.024,1
663,24.527,1
664,15.507,0
665,26.471,1
666,21.838,0
667,17.73,0
668,15.424,0
669,17.913,0
670,12.56,0
671,20.519,0
672,25.41,1
673,30.363,1
674,24.629,1
675,22.81,0
676,21.566,0
677,15.183,0
678,22.485,0
679,18.445,0
680,11.281,0
681,14.469,0
682,24.753,1
683,16.509,0
684,35.034,1
685,23.416,0
686,16.584,0
687,17.53,0
688,19.528,0
689,24.501,1
690,15.347,0
691,15.302,0
692,14.413,0
693,18.369,0
694,18.434,0
695,19.98,0
696,21.221,0
697,10.242,0
698,7.535,0
699,23.768,0
700,18.313,0
701,23.256,0
702,18.656,0
703,26.605,1
704,16.709,0
705,9.174,0
706,24.037,1
707,17.222,0
708,26.76,1
709,12.862,0
710,14.133,0
711,15.699,0
712,13.108,0
713,28.12,1
714,21.467,0
715,21.102,0
716,15.057,0
717,27.334,1
718,18.033,0
719,24.526,1
720,18.164,0
721,14.336,0
722,24.389,1
723,15.954,0
724,20.38,0
725,18.809,0
726,21.938,0
727,26.825,1
728,22.604,0
729,35.624,1
730,23.467,0
731,25.35,1
732,20.195,0
733,31.463,1
734,22.215,0
735,17.152,0
736,7.486,0
737,17.075,0
738,21.549,0
739,12.605,0
740,20.803,0
741,18.174,0
742,27.129,1
743,27.206,1
744,11.929,0
745,15.943,0
746,22.647,0
747,23.736,0
748,10.517,0
749,21.482,0
750,20.346,0
751,12.816,0
752,26.565,1
753,17.939,0
754,15.189,0
755,17.502,0
756,21.768,0
757,21.678,0
758,17.228,0
759,25.349,1
760,15.569,0
761,20.95,0
762,29.273,1
763,41.112,1
764,20.89,0
765,17.354,0
766,17.981,0
767,19.376,0
768,10.843,0
769,11.796,0
770,23.148,0
771,22.667,0
772,18.906,0
773,16.751,0
774,18.217,0
775,39.948,1
776,19.793,0
777,14.199,0
778,24.633,1
779,20.978,0
780,20.984,0
781,18.151,0
782,16.94,0
783,16.212,0
784,16.88,0
785,19.051,0
786,10.439,0
787,33.327,1
788,38.845,1
789,16.076,0
790,20.796,0
791,17.481,0
792,18.971,0
793,16.139,0
794,24.774,1
795,22.089,0
796,22.028,0
797,17.194,0
798,14.238,0
799,24.5,1
800,20.549,0
801,28.007,1
802,21.255,0
803,20.413,0
804,16.866,0
805,14.673,0
806,14.33,0
807,20.252,0
808,37.837,1
809,19.434,0
810,15.726,0
811,15.667,0
812,20.295,0
813,8.493,0
814,16.919,0
815,25.746,1
816,10.289,0
817,19.78,0
818,14.496,0
819,9.607,0
820,27.944,1
821,22.976,0
822,15.03,0
823,17.851,0
824,12.213,0
825,18.731,0
826,23.438,0
827,17.149,0
828,16.086,0
829,23.158,0
830,19.89,0
831,19.712,0
832,14.1,0
833,17.601,0
834,18.115,0
835,14.506,0
836,21.662,0
837,18.993,0
838,19.683,0
839,23.232,0
840,23.417,0
841,16.396,0
842,20.388,0
843,15.709,0
844,15.707,0
845,17.224,0
846,12.368,0
847,23.932,0
848,19.707,0
849,35.616,1
850,11.448,0
851,21.682,0
852,21.157,0
853,26.668,1
854,18.926,0
855,22.613,0
856,21.821,0
857,17.4,0
858,20.959,0
859,23.331,0
860,10.574,0
861,21.617,0
862,18.85,0
863,21.726,0
864,24.751,1
865,28.954,1
866,15.213,0
867,25.61,1
868,12.272,0
869,13.344,0
870,13.257,0
871,28.708,1
872,18.831,0
873,10.008,0
874,20.055,0
875,17.716,0
876,36.793,1
877,13.917,0
878,18.487,0
879,16.139,0
880,8.46,0
881,30.435,1
882,11.073,0
883,14.928,0
884,28.134,1
885,17.937,0
886,11.322,0
887,12.008,0
888,19.311,0
889,21.332,0
890,20.813,0
891,23.159,0
892,21.55,0
893,14.63,0
894,25.876,1
895,14.992,0
896,12.164,0
897,17.686,0
898,17.066,0
899,12.109,0
900,10.3,0
901,23.769,0
902,16.674,0
903,28.671,1
904,15.579,0
905,19.191,0
906,21.887,0
907,18.983,0
908,21.475,0
909,19.613,0
910,23.31,0
911,22.803,0
912,16.561,0
913,26.466,1
914,17.586,0
915,17.296,0
916,25.436,1
917,11.534,0
918,18.712,0
919,26.513,1
920,21.392,0
921,15.561,0
922,9.255,0
923,40.51,1
924,13.498,0
925,28.22,1
926,22.153,0
927,20.067,0
928,27.909,1
929,22.551,0
930,17.251,0
931,28.59,1
932,16.573,0
933,29.744,1
934,19.427,0
935,36.009,1
936,18.478,0
937,25.451,1
938,10.228,0
939,18.08,0
940,12.159,0
941,15.464,0
942,17.297,0
943,17.998,0
944,14.409,0
945,11.122,0
946,32.205,1
947,23.892,0
948,24.033,1
949,16.932,0
950,24.515,1
951,16.407,0
952,27.904,1
953,16.97,0
954,26.615,1
955,20.378,0
956,20.769,0
957,22.709,0
958,22.37,0
959,14.911,0
960,16.523,0
961,31.023,1
962,27.99,1
963,31.183,1
964,12.059,0
965,26.294,1
966,22.242,0
967,25.059,1
968,25.969,1
969,13.606,0
970,17.178,0
971,14.538,0
972,22.592,0
973,16.762,0
974,19.651,0
975,22.784,0
976,17.943,0
977,13.231,0
978,18.472,0
979,22.132,0
980,29.144,1
981,12.796,0
982,27.882,1
983,18.849,0
984,22.826,0
985,19.003,0
986,14.608,0
987,17.762,0
988,16.087,0
989,23.969,0
990,14.276,0
991,7.198,0
992,11.126,0
993,25.32,1
994,17.789,0
995,17.705,0
996,21.655,0
997,29.837,1
998,23.08,0
999,15.19,0
1000,19.894,0
1001,13.269,0
1002,16.96,0
1003,19.832,0
1004,20.867,0
1005,12.555,0
1006,20.825,0
1007,26.776,1
1008,19.674,0
1009,21.881,0
1010,22.515,0
1011,24.654,1
1012,18.242,0
1013,12.953,0
1014,36.949,1
1015,21.051,0
1016,16.778,0
1017,12.636,0
1018,14.116,0
1019,17.749,0
1020,15.427,0
1021,17.523,0
1022,22.143,0
1023,19.172,0
1024,8.532,0
1025,19.018,0
1026,20.684,0
1027,26.22,1
1028,17.282,0
1029,15.759,0
1030,24.619,1
1031,20.769,0
1032,15.827,0
1033,25.275,1
1034,28.764,1
1035,24.17,1
1036,26.807,1
1037,26.695,1
1038,26.925,1
1039,22.663,0
1040,19.469,0
1041,19.987,0
1042,22.745,0
1043,20.922,0
1044,11.728,0
1045,15.585,0
1046,16.416,0
1047,18.271,0
1048,11.581,0
1049,21.62,0
1050,23.006,0
1051,13.769,0
1052,21.339,0
1053,9.346,0
1054,14.858,0
1055,20.217,0
1056,18.492,0
1057,21.61,0
1058,28.807,1
1059,16.216,0
1060,16.255,0
1061,11.937,0
1062,16.365,0
1063,18.35,0
1064,27.067,1
1065,19.189,0
1066,23.763,0
1067,23.258,0
1068,11.815,0
1069,18.167,0
1070,23.202,0
1071,21.562,0
1072,24.161,1
1073,30.634,1
1074,21.736,0
1075,11.282,0
1076,11.991,0
1077,16.956,0
1078,20.641,0
1079,24.82,1
1080,21.775,0
1081,23.365,0
1082,20.957,0
1083,18.236,0
1084,25.681,1
1085,17.113,0
1086,17.533,0
1087,21.068,0
1088,13.179,0
1089,27.897,1
1090,19.057,0
1091,34.041,1
1092,9.763,0
1093,25.203,1
1094,17.581,0
1095,30.811,1
1096,20.787,0
1097,21.314,0
1098,26.695,1
1099,18.246,0
1100,18.169,0
1101,12.32,0
1102,19.668,0
1103,19.139,0
1104,23.678,0
1105,22.821,0
1106,23.552,0
1107,25.304,1
1108,29.1,1
1109,27.803,1
1110,20.953,0
1111,21.331,0
1112,16.956,0
1113,20.746,0
1114,19.251,0
1115,17.847,0
1116,10.626,0
1117,31.522,1
1118,34.645,1
1119,24.545,1
1120,11.315,0
1121,26.788,1
1122,14.622,0
1123,14.159,0
1124,28.119,1
1125,21.636,0
1126,20.709,0
1127,36.724,1
1128,26.766,1
1129,18.869,0
1130,13.38,0
1131,15.981,0
1132,17.739,0
1133,34.096,1
1134,12.991,0
1135,26.904,1
1136,23.805,0
1137,16.101,0
1138,18.807,0
1139,17.578,0
1140,21.195,0
1141,19.071,0
1142,10.344,0
1143,17.483,0
1144,20.576,0
1145,23.522,0
1146,33.502,1
1147,18.216,0
1148,24.058,1
1149,28.362,1
1150,31.742,1
1151,19.454,0
1152,22.268,0
1153,26.742,1
1154,14.03,0
1155,25.281,1
1156,18.148,0
1157,20.871,0
1158,24.521,1
1159,14.732,0
1160,16.472,0
1161,19.218,0
1162,13.643,0
1163,20.229,0
1164,19.557,0
1165,21.648,0
1166,16.118,0
1167,12.627,0
1168,21.562,0
1169,17.962,0
1170,19.365,0
1171,19.909,0
1172,23.379,0
1173,15.399,0
1174,19.875,0
1175,17.0,0
1176,24.041,1
1177,10.335,0
1178,22.397,0
1179,22.179,0
1180,12.848,0
1181,20.641,0
1182,13.064,0
1183,12.484,0
1184,27.105,1
1185,13.677,0
1186,20.189,0
1187,15.844,0
1188,11.963,0
1189,29.297,1
1190,15.698,0
1191,20.101,0
1192,17.407,0
1193,16.015,0
1194,25.899,1
1195,19.333,0
1196,8.852,0
1197,20.866,0
1198,18.806,0
1199,34.63,1
1200,21.829,0
1201,9.908,0
1202,26.287,1
1203,15.702,0
1204,14.972,0
1205,9.151,0
1206,13.61,0
1207,18.804,0
1208,17.065,0
1209,17.612,0
1210,24.227,1
1211,22.865,0
1212,29.753,1
1213,22.596,0
1214,30.132,1
1215,24.416,1
1216,33.002,1
1217,20.006,0
1218,18.283,0
1219,15.163,0
1220,19.817,0
1221,14.419,0
1222,12.587,0
1223,20.564,0
1224,19.97,0
1225,14.687,0
1226,18.37,0
1227,27.24,1
1228,22.81,0
1229,5.311,0
1230,23.841,0
1231,15.421,0
1232,12.346,0
1233,19.648,0
1234,13.165,0
1235,14.72,0
1236,13.989,0
1237,23.72,0
1238,11.804,0
1239,24.022,1
1240,25.413,1
1241,16.487,0
1242,23.247,0
1243,22.08,0
1244,24.936,1
1245,23.921,0
1246,12.216,0
1247,16.011,0
1248,23.032,0
1249,19.257,0
1250,21.502,0
1251,17.892,0
1252,17.023,0
1253,21.21,0
1254,13.304,0
1255,22.372,0
1256,21.664,0
1257,20.296,0
1258,35.97,1
1259,37.428,1
1260,17.648,0
1261,21.916,0
1262,14.148,0
1263,15.62,0
1264,17.628,0
1265,16.266,0
1266,34.403,1
1267,16.651,0
1268,21.635,0
1269,18.845,0
1270,27.248,1
1271,14.518,0
1272,26.812,1
1273,19.707,0
1274,20.603,0
1275,21.559,0
1276,22.463,0
1277,19.439,0
1278,23.323,0
1279,17.013,0
1280,37.097,1
1281,28.632,1
1282,21.317,0
1283,22.105,0
1284,19.44,0
1285,25.867,1
1286,13.759,0
1287,26.955,1
1288,25.007,1
1289,19.424,0
1290,5.575,0
1291,16.011,0
1292,21.294,0
1293,20.086,0
1294,19.008,0
1295,10.819,0
1296,15.086,0
1297,20.239,0
1298,27.746,1
1299,28.574,1
1300,19.825,0
1301,15.631,0
1302,11.932,0
1303,14.172,0
1304,7.04,0
1305,18.514,0
1306,14.986,0
1307,23.529,0
1308,21.975,0
1309,15.33,0
1310,20.118,0
1311,24.715,1
1312,16.9,0
1313,25.395,1
1314,19.697,0
1315,21.323,0
1316,18.196,0
1317,31.463,1
1318,21.474,0
1319,22.417,0
1320,24.939,1
1321,8.714,0
1322,9.406,0
1323,19.161,0
1324,16.678,0
1325,17.272,0
1326,9.023,0
1327,18.959,0
1328,12.795,0
1329,12.496,0
1330,25.513,1
1331,26.794,1
1332,15.138,0
1333,13.807,0
1334,18.23,0
1335,16.413,0
1336,20.995,0
1337,16.885,0
1338,20.396,0
1339,16.168,0
1340,17.298,0
1341,9.514,0
1342,18.106,0
1343,18.876,0
1344,26.335,1
1345,17.088,0
1346,22.949,0
1347,22.174,0
1348,10.434,0
1349,18.215,0
1350,27.77,1
1351,11.234,0
1352,25.641,1
1353,12.194,0
1354,12.654,0
1355,26.182,1
1356,27.934,1
1357,12.45,0
1358,18.536,0
1359,18.373,0
1360,19.87,0
1361,19.326,0
1362,40.964,1
1363,18.718,0
1364,21.351,0
1365,21.55,0
1366,13.022,0
1367,29.726,1
1368,17.974,0
1369,18.545,0
1370,23.435,0
1371,14.466,0
1372,13.696,0
1373,10.966,0
1374,18.984,0
1375,24.195,1
1376,28.64,1
1377,25.076,1
1378,16.201,0
1379,11.944,0
1380,22.842,0
1381,8.371,0
1382,18.288,0
1383,14.488,0
1384,20.477,0
1385,22.691,0
1386,13.934,0
1387,14.075,0
1388,19.732,0
1389,16.636,0
1390,17.673,0
1391,7.269,0
1392,23.293,0
1393,10.022,0
1394,25.037,1
1395,32.839,1
1396,22.967,0
1397,22.429,0
1398,12.751,0
1399,26.249,1
1400,26.51,1
1401,13.926,0
1402,15.461,0
1403,16.734,0
1404,25.904,1
1405,24.146,1
1406,18.789,0
1407,15.644,0
1408,18.382,0
1409,21.64,0
1410,18.745,0
1411,25.925,1
1412,27.003,1
1413,27.045,1
1414,21.95,0
1415,16.277,0
1416,14.406,0
1417,29.7,1
1418,30.925,1
1419,19.076,0
1420,19.592,0
1421,15.394,0
1422,22.632,0
1423,21.254,0
1424,16.66,0
1425,16.1,0
1426,19.835,0
1427,18.977,0
1428,15.971,0
1429,20.66,0
1430,22.954,0
1431,18.204,0
1432,20.258,0
1433,17.204,0
1434,43.307,1
1435,12.788,0
1436,13.288,0
1437,21.907,0
1438,21.108,0
1439,20.194,0
1440,13.098,0
1441,15.542,0
1442,18.185,0
1443,24.914,1
1444,12.674,0
1445,22.562,0
1446,11.062,0
1447,18.76,0
1448,11.772,0
1449,20.865,0
1450,24.784,1
1451,13.827,0
1452,14.623,0
1453,11.798,0
1454,13.067,0
1455,17.545,0
1456,18.272,0
1457,23.017,0
1458,28.237,1
1459,27.274,1
1460,12.455,0
1461,19.299,0
1462,17.805,0
1463,10.524,0
1464,14.797,0
1465,21.833,0
1466,14.644,0
1467,22.065,0
1468,11.334,0
1469,18.675,0
1470,22.232,0
1471,15.618,0
1472,13.901,0
1473,24.493,1
1474,21.814,0
1475,29.283,1
1476,19.737,0
1477,21.273,0
1478,23.733,0
1479,15.15,0
1480,21.004,0
1481,23.446,0
1482,12.199,0
1483,16.69,0
1484,18.479,0
1485,18.291,0
1486,10.717,0
1487,19.307,0
1488,16.319,0
1489,22.577,0
1490,21.531,0
1491,15.597,0
1492,22.472,0
1493,11.286,0
1494,24.45,1
1495,26.043,1
1496,13.9,0
1497,21.713,0
1498,19.997,0
1499,14.828,0
1500,30.244,1
1501,18.817,0
1502,24.718,1
1503,15.371,0
1504,21.27,0
1505,39.698,1
1506,17.772,0
1507,15.386,0
1508,22.913,0
1509,20.051,0
1510,20.085,0
1511,31.465,1
1512,19.701,0
1513,13.819,0
1514,27.271,1
1515,13.961,0
1516,20.24,0
1517,25.792,1
1518,16.764,0
1519,21.707,0
1520,13.841,0
1521,24.16,1
1522,19.647,0
1523,21.642,0
1524,16.656,0
1525,25.255,1
1526,27.373,1
1527,17.895,0
1528,26.667,1
1529,13.697,0
1530,29.117,1
1531,18.793,0
1532,11.59,0
1533,18.048,0
1534,13.587,0
1535,24.362,1
1536,18.19,0
1537,7.385,0
1538,15.228,0
1539,26.103,1
1540,10.298,0
1541,27.68,1
1542,21.611,0
1543,25.698,1
1544,13.504,0
1545,18.765,0
1546,16.997,0
1547,21.577,0
1548,30.819,1
1549,7.899,0
1550,20.501,0
1551,13.085,0
1552,21.618,0
1553,24.835,1
1554,25.072,1
1555,13.798,0
1556,14.053,0
1557,17.021,0
1558,19.139,0
1559,11.406,0
1560,23.82,0
1561,33.89,1
1562,25.004,1
1563,19.041,0
1564,12.885,0
1565,23.55,0
1566,17.869,0
1567,32.983,1
1568,12.359,0
1569,23.924,0
1570,23.952,0
1571,16.686,0
1572,24.086,1
1573,22.608,0
1574,17.373,0
1575,12.476,0
1576,21.267,0
1577,16.264,0
1578,20.535,0
1579,9.495,0
1580,15.184,0
1581,21.315,0
1582,19.691,0
1583,24.563,1
1584,18.543,0
1585,23.866,0
1586,24.321,1
1587,30.242,1
1588,24.944,1
1589,14.386,0
1590,17.853,0
1591,17.435,0
1592,23.678,0
1593,19.149,0
1594,14.604,0
1595,22.314,0
1596,12.834,0
1597,19.315,0
1598,22.171,0
1599,12.343,0
1600,14.939,0
1601,25.344,1
1602,16.675,0
1603,32.235,1
1604,21.153,0
1605,29.055,1
1606,22.428,0
1607,7.502,0
1608,14.348,0
1609,27.035,1
1610,24.458,1
1611,26.019,1
1612,24.033,1
1613,17.29,0
1614,15.739,0
1615,20.148,0
1616,19.619,0
1617,29.106,1
1618,24.683,1
1619,22.987,0
1620,13.195,0
1621,11.477,0
1622,16.165,0
1623,22.142,0
1624,23.487,0
1625,14.44,0
1626,17.46,0
1627,17.688,0
1628,19.023,0
1629,10.148,0
1630,19.448,0
1631,17.649,0
1632,20.252,0
1633,22.732,0
1634,22.418,0
1635,26.003,1
1636,21.136,0
1637,10.718,0
1638,17.093,0
1639,18.044,0
1640,16.449,0
1641,17.211,0
1642,17.753,0
1643,28.139,1
1644,25.55,1
1645,11.887,0
1646,25.999,1
1647,20.777,0
1648,11.354,0
1649,17.026,0
1650,14.798,0
1651,18.203,0
1652,10.518,0
1653,8.441,0
1654,9.831,0
1655,19.913,0
1656,22.697,0
1657,19.775,0
1658,17.64,0
1659,21.896,0
1660,25.392,1
1661,21.147,0
1662,15.057,0
1663,21.53,0
