orden_id,proveedor,tiempo_entrega,defecto
173,A,6.948,0
174,A,6.301,0
175,A,6.88,0
176,A,5.534,0
177,A,2.052,0
178,A,7.065,0
179,A,5.455,0
180,A,5.35,0
181,B,3.609,0
182,B,3.012,0
183,B,4.396,0
184,B,6.186,0
185,B,5.19,0
186,B,5.276,0
187,B,5.015,0
188,B,5.237,0
189,B,5.078,0
190,B,2.253,0
191,B,4.32,0
192,B,4.055,0
193,B,5.43,1
194,B,5.809,0
195,B,4.886,0
196,B,2.995,0
197,B,4.713,0
198,B,3.619,0
199,B,4.699,0
200,B,6.597,0
201,B,2.198,0
202,B,4.847,0
203,B,5.377,0
204,B,6.458,0
205,B,4.386,0
206,B,4.125,0
207,B,4.673,0
208,B,4.208,0
209,B,5.038,0
210,B,5.164,0
211,B,6.545,0
212,B,4.822,0
213,B,3.753,0
214,B,4.143,0
215,B,4.563,0
216,B,5.495,0
217,B,3.913,0
218,B,2.193,0
219,B,4.119,0
220,B,4.64,0
221,B,3.322,0
222,B,4.817,0
223,B,7.117,0
224,B,3.92,0
225,B,5.306,0
226,B,4.786,0
227,B,5.262,0
228,B,5.223,1
229,B,2.287,0
230,B,3.911,0
231,B,5.679,0
232,B,5.703,0
233,B,3.802,0
234,B,4.555,0
235,B,3.461,0
236,B,4.258,0
237,B,5.271,0
238,B,5.13,0
239,B,4.478,0
240,B,5.332,0
241,B,3.706,0
242,B,5.633,0
243,B,5.626,0
244,B,4.941,0
245,B,4.154,0
246,B,4.32,0
247,B,3.548,0
248,B,4.937,0
249,B,4.533,0
250,B,6.631,0
251,B,6.245,0
252,B,4.822,0
253,B,5.336,0
254,B,3.766,0
255,B,4.3,0
256,B,4.416,0
257,B,5.999,0
258,B,3.126,0
259,B,5.428,0
260,B,6.091,0
261,B,6.044,0
262,B,4.916,0
263,B,4.605,0
264,B,4.314,0
265,B,4.721,1
266,B,3.918,0
267,B,5.621,0
268,B,5.695,0
269,B,5.659,0
270,B,5.518,0
271,B,5.657,0
272,B,5.877,0
273,B,4.453,0
274,B,3.209,0
275,B,4.615,0
276,B,5.147,0
277,B,5.499,0
278,B,2.35,0
279,B,4.976,0
280,B,4.63,0
281,B,2.518,0
282,B,3.797,0
283,B,4.275,0
284,B,6.047,0
285,B,5.018,0
286,B,4.849,0
287,B,6.162,0
288,B,3.724,0
289,B,3.248,0
290,B,4.768,0
291,B,5.056,1
292,B,4.008,0
293,B,4.771,0
294,B,6.908,0
295,B,3.574,0
296,B,6.287,0
297,B,5.762,0
298,B,5.445,0
299,B,4.159,0
300,B,4.377,0
301,B,5.502,0
302,B,6.006,0
303,B,2.881,0
304,B,5.96,0
305,B,3.801,0
306,B,3.176,0
307,B,4.512,0
308,B,5.73,0
309,B,4.994,0
310,B,3.204,0
311,B,4.466,0
312,B,6.063,0
313,B,4.252,0
314,B,5.26,0
315,B,4.64,0
316,B,5.219,0
317,B,6.103,0
318,B,5.829,0
319,B,6.224,0
320,B,4.832,0
321,B,3.206,0
322,B,5.292,0
323,B,3.814,0
324,B,4.425,0
325,B,6.942,0
326,B,4.452,0
327,B,4.829,0
328,B,4.029,0
329,B,5.904,0
330,B,6.445,0
331,B,4.359,0
332,B,3.519,0
333,B,4.957,0
334,B,4.822,0
335,B,6.391,1
336,B,5.367,0
337,B,5.811,0
338,B,3.998,0
339,B,5.775,0
340,B,6.335,0
341,B,4.865,0
342,B,6.347,0
343,B,4.295,0
344,B,6.132,0
345,B,4.152,0
346,B,5.177,1
347,B,5.671,0
348,B,5.867,0
349,B,4.557,0
350,B,4.602,0
