registro_id,turno,tipo_defecto,proveedor,gravedad
206,Dia,A,P3,Grave
207,Noche,B,P2,Leve
208,Dia,C,P1,Leve
209,Dia,C,P1,Grave
210,Dia,A,P2,Leve
211,Dia,A,P2,Grave
212,Dia,A,P1,Leve
213,Noche,A,P3,Leve
214,Dia,C,P3,Leve
215,Noche,C,P2,Leve
216,Dia,A,P1,Leve
217,Noche,A,P2,Grave
218,Noche,A,P3,Leve
219,Noche,A,P1,Leve
220,Dia,C,P1,Leve
221,Noche,C,P2,Grave
222,Dia,C,P1,Leve
223,Noche,A,P1,Leve
224,Noche,B,P1,Leve
225,Dia,A,P1,Leve
226,Dia,A,P1,Leve
227,Noche,B,P1,Leve
228,Dia,A,P1,Leve
229,Dia,A,P2,Leve
230,Dia,A,P2,Grave
231,Dia,B,P3,Leve
232,Dia,C,P2,Leve
233,Dia,B,P2,Leve
234,Dia,A,P1,Leve
235,Noche,C,P1,Leve
236,Noche,A,P3,Grave
237,Dia,B,P2,Leve
238,Noche,B,P3,Grave
239,Noche,B,P3,Leve
240,Noche,C,P2,Leve
241,Noche,B,P1,Leve
242,Dia,A,P2,Leve
243,Noche,B,P2,Leve
244,Noche,B,P3,Grave
245,Dia,C,P2,Leve
246,Dia,A,P1,Leve
247,Noche,A,P1,Leve
248,Noche,A,P3,Leve
249,Dia,B,P3,Leve
250,Dia,B,P1,Leve
251,Dia,A,P2,Grave
252,Dia,A,P2,Grave
253,Dia,B,P2,Leve
254,Noche,A,P1,Leve
255,Noche,B,P1,Leve
256,Dia,B,P1,Leve
257,Dia,A,P1,Leve
258,Noche,B,P2,Grave
259,Noche,B,P1,Leve
260,Dia,B,P3,Leve
261,Noche,C,P2,Leve
262,Noche,C,P1,Leve
263,Dia,A,P1,Leve
264,Dia,C,P1,Grave
265,Dia,B,P2,Grave
266,Noche,B,P2,Leve
267,Dia,A,P2,Grave
268,Dia,A,P2,Leve
269,Noche,A,P3,Leve
270,Noche,B,P1,Leve
271,Dia,B,P2,Grave
272,Noche,B,P1,Leve
273,Noche,C,P1,Leve
274,Dia,A,P2,Leve
275,Noche,B,P2,Leve
276,Noche,C,P1,Leve
277,Noche,B,P2,Grave
278,Noche,B,P1,Leve
279,Dia,A,P1,Leve
280,Dia,A,P3,Leve
281,Dia,A,P2,Grave
282,Noche,A,P3,Grave
283,Noche,A,P1,Leve
284,Noche,C,P2,Leve
285,Noche,C,P1,Leve
286,Noche,B,P1,Leve
287,Dia,A,P2,Leve
288,Dia,A,P1,Leve
289,Noche,B,P1,Grave
290,Noche,C,P1,Leve
291,Noche,C,P1,Grave
292,Dia,C,P3,Leve
293,Noche,B,P3,Leve
294,Noche,B,P2,Leve
295,Noche,B,P2,Leve
296,Noche,A,P1,Leve
297,Dia,C,P3,Grave
298,Dia,A,P1,Grave
299,Noche,B,P2,Grave
300,Noche,A,P2,Grave
301,Dia,A,P1,Leve
302,Dia,C,P2,Leve
303,Noche,C,P2,Grave
304,Dia,B,P1,Grave
305,Noche,B,P3,Leve
306,Dia,B,P1,Leve
307,Noche,B,P2,Leve
308,Dia,A,P1,Leve
309,Dia,B,P1,Leve
310,Dia,C,P3,Leve
311,Noche,C,P3,Leve
312,Noche,B,P3,Leve
313,Dia,B,P1,Leve
314,Noche,B,P1,Grave
315,Noche,A,P2,Leve
316,Dia,A,P1,Leve
317,Dia,A,P3,Leve
318,Dia,A,P2,Grave
319,Dia,A,P3,Leve
320,Noche,B,P2,Grave
321,Dia,B,P2,Grave
322,Noche,A,P2,Leve
323,Noche,A,P2,Grave
324,Dia,B,P1,Leve
325,Noche,B,P2,Leve
326,Dia,B,P2,Grave
327,Dia,A,P2,Leve
328,Noche,A,P3,Leve
329,Dia,A,P1,Leve
330,Noche,B,P2,Leve
331,Dia,B,P2,Leve
332,Noche,B,P1,Leve
333,Dia,A,P3,Leve
334,Dia,C,P2,Leve
335,Dia,A,P3,Leve
336,Dia,A,P2,Leve
337,Noche,B,P2,Leve
338,Dia,B,P1,Grave
339,Dia,B,P1,Leve
340,Dia,A,P1,Leve
341,Dia,A,P1,Leve
342,Noche,B,P2,Leve
343,Dia,B,P2,Leve
344,Noche,B,P1,Grave
345,Dia,C,P3,Leve
346,Noche,C,P1,Grave
347,Dia,A,P1,Leve
348,Noche,B,P3,Leve
349,Dia,A,P1,Leve
350,Dia,A,P1,Leve
351,Noche,C,P3,Leve
352,Dia,A,P2,Leve
353,Noche,B,P1,Leve
354,Dia,B,P3,Grave
355,Noche,C,P2,Grave
356,Noche,B,P3,Grave
357,Dia,A,P2,Leve
358,Noche,B,P2,Leve
359,Dia,A,P2,Grave
360,Dia,A,P2,Leve
361,Dia,C,P1,Grave
362,Dia,B,P2,Grave
363,Noche,B,P2,Leve
364,Dia,A,P2,Leve
365,Dia,B,P1,Leve
366,Dia,B,P2,Leve
367,Noche,A,P2,Grave
368,Noche,C,P3,Leve
369,Dia,A,P2,Grave
370,Dia,A,P2,Leve
371,Dia,A,P1,Leve
372,Noche,B,P1,Leve
373,Dia,A,P2,Grave
374,Dia,C,P1,Leve
375,Dia,B,P1,Leve
376,Noche,B,P3,Grave
377,Noche,C,P1,Leve
378,Dia,C,P1,Grave
379,Dia,A,P3,Leve
380,Dia,A,P3,Leve
381,Dia,A,P3,Leve
382,Dia,A,P1,Leve
383,Noche,B,P2,Leve
384,Dia,A,P1,Leve
385,Dia,A,P1,Leve
386,Dia,B,P1,Leve
387,Dia,C,P2,Leve
388,Dia,A,P1,Grave
389,Dia,A,P3,Grave
390,Dia,B,P2,Grave
391,Noche,C,P2,Leve
392,Dia,B,P1,Leve
393,Noche,A,P2,Leve
394,Noche,C,P1,Leve
395,Dia,A,P2,Leve
396,Dia,A,P3,Leve
397,Dia,B,P3,Grave
398,Noche,B,P3,Leve
399,Dia,A,P1,Leve
400,Noche,C,P1,Leve
