pedido_id,zona,ruta,urgente,inspeccionado,defecto,atrasado,danado
147,Norte,Rapida,0,1,0,0,1
148,Centro,Rapida,1,1,0,0,0
149,Norte,Normal,0,1,0,0,0
150,Norte,Normal,1,1,1,1,0
151,Sur,Normal,0,1,1,0,0
152,Centro,Rapida,1,1,0,1,0
153,Centro,Normal,0,1,0,1,0
154,Norte,Normal,0,1,0,0,0
155,Centro,Normal,0,1,0,0,0
156,Norte,Normal,1,0,0,1,0
157,Sur,Normal,0,1,0,0,1
158,Centro,Rapida,0,1,0,0,0
159,Norte,Normal,1,0,0,0,0
160,Sur,Normal,1,0,0,0,0
161,Centro,Normal,0,0,0,0,0
162,Centro,Rapida,0,0,0,0,0
163,Norte,Rapida,1,1,0,0,0
164,Sur,Normal,1,0,0,1,0
165,Centro,Normal,0,0,0,0,0
166,Norte,Normal,0,0,0,0,0
167,Sur,Normal,0,1,1,1,0
168,Norte,Normal,1,1,1,1,0
169,Norte,Normal,0,0,0,0,0
170,Centro,Normal,0,1,0,1,0
171,Norte,Normal,0,0,0,1,0
172,Centro,Normal,0,0,0,0,0
173,Centro,Normal,0,1,0,1,0
174,Sur,Normal,1,0,0,0,1
175,Sur,Rapida,0,1,0,0,0
176,Norte,Rapida,0,0,0,0,0
177,Sur,Normal,0,0,0,0,0
178,Norte,Rapida,0,0,0,0,0
179,Sur,Rapida,0,1,0,0,0
180,Norte,Normal,0,1,0,0,0
181,Centro,Normal,0,1,0,0,0
182,Centro,Rapida,0,0,0,0,1
183,Sur,Rapida,0,0,0,0,0
184,Sur,Normal,1,1,0,1,0
185,Norte,Normal,1,1,1,1,0
186,Centro,Normal,0,0,0,0,0
187,Centro,Rapida,1,1,0,0,0
188,Norte,Normal,0,0,0,0,0
189,Centro,Rapida,0,0,0,0,0
190,Centro,Rapida,0,0,0,0,0
191,Norte,Normal,0,1,0,0,1
192,Centro,Normal,0,0,0,0,0
193,Centro,Normal,0,1,0,0,0
194,Centro,Rapida,0,1,0,0,0
195,Centro,Rapida,1,0,0,0,0
196,Centro,Rapida,0,0,0,0,0
197,Sur,Normal,0,1,0,1,0
198,Norte,Rapida,1,0,0,0,0
199,Norte,Normal,1,0,0,0,0
200,Centro,Rapida,0,0,0,0,0
201,Sur,Normal,0,0,0,1,0
202,Centro,Normal,1,0,0,0,0
203,Norte,Normal,0,0,0,0,0
204,Centro,Normal,0,1,0,1,0
205,Sur,Normal,0,1,0,0,0
206,Sur,Normal,1,1,0,0,0
207,Norte,Normal,0,1,0,0,0
208,Norte,Rapida,1,1,0,0,0
209,Sur,Normal,0,1,0,0,0
210,Sur,Normal,1,1,0,0,0
211,Norte,Normal,0,1,0,0,0
212,Centro,Rapida,0,0,0,0,0
213,Norte,Normal,0,1,0,0,0
214,Centro,Normal,0,1,0,1,1
215,Norte,Normal,0,0,0,1,1
216,Norte,Normal,0,1,0,1,0
217,Norte,Normal,0,1,0,0,0
218,Sur,Normal,1,1,0,0,0
219,Centro,Rapida,0,0,0,0,0
220,Norte,Rapida,0,1,0,0,0
221,Centro,Normal,0,1,0,1,0
222,Centro,Normal,0,1,0,1,0
223,Centro,Normal,1,0,0,0,0
224,Centro,Normal,0,0,0,0,0
225,Centro,Normal,1,0,1,1,0
226,Centro,Normal,1,0,0,0,0
227,Centro,Rapida,0,0,0,0,0
228,Sur,Normal,1,0,0,0,0
229,Centro,Normal,0,0,0,0,0
230,Sur,Rapida,0,0,1,0,0
231,Norte,Rapida,1,1,0,0,0
232,Norte,Normal,0,0,0,1,0
233,Sur,Normal,1,0,0,1,0
234,Centro,Normal,0,1,0,0,0
235,Centro,Normal,0,1,0,1,0
236,Centro,Normal,0,1,0,1,0
237,Norte,Normal,1,1,0,1,0
238,Centro,Normal,1,1,0,1,0
239,Centro,Rapida,0,1,0,1,0
240,Centro,Rapida,0,1,0,0,0
241,Sur,Normal,0,1,0,0,0
242,Sur,Normal,0,1,0,0,0
243,Sur,Rapida,0,1,0,0,0
244,Centro,Rapida,0,0,1,0,1
245,Norte,Rapida,0,0,0,0,0
246,Norte,Normal,0,0,0,0,0
247,Centro,Normal,0,0,0,0,0
248,Norte,Rapida,1,0,1,0,0
249,Norte,Normal,0,0,0,1,0
250,Norte,Rapida,0,0,0,0,0
251,Sur,Normal,1,1,0,0,0
252,Norte,Normal,0,0,0,0,0
253,Norte,Normal,0,1,0,0,0
254,Sur,Normal,0,1,0,0,0
255,Centro,Normal,0,1,1,1,0
256,Centro,Rapida,0,0,0,0,0
257,Centro,Normal,0,1,0,1,0
258,Sur,Normal,0,0,0,0,0
259,Sur,Normal,1,1,0,1,0
260,Centro,Normal,0,1,0,1,0
261,Sur,Normal,0,0,0,1,0
262,Centro,Normal,0,1,0,1,0
263,Centro,Normal,0,0,0,0,0
264,Sur,Rapida,0,1,1,0,0
265,Centro,Normal,0,0,0,0,0
266,Norte,Rapida,0,1,0,0,0
267,Centro,Rapida,0,1,0,0,0
268,Norte,Normal,1,1,0,1,0
269,Sur,Normal,1,0,0,0,0
270,Centro,Rapida,0,1,0,0,0
271,Norte,Normal,1,0,0,0,0
272,Sur,Normal,0,1,0,0,0
273,Sur,Normal,1,1,1,1,0
274,Centro,Normal,0,1,0,1,0
275,Centro,Rapida,0,0,0,0,0
276,Centro,Rapida,1,1,1,0,0
277,Norte,Rapida,0,0,0,0,0
278,Norte,Rapida,1,0,0,0,1
279,Centro,Rapida,1,0,0,0,0
280,Centro,Rapida,1,1,0,0,0
281,Sur,Rapida,0,1,0,1,0
282,Norte,Normal,0,1,1,0,0
283,Norte,Normal,0,0,0,0,1
284,Centro,Normal,1,1,0,0,0
285,Sur,Normal,1,1,0,0,0
286,Sur,Normal,0,1,0,0,0
287,Centro,Normal,0,1,0,0,0
288,Sur,Normal,0,0,0,0,0
289,Centro,Normal,1,0,1,0,0
290,Sur,Normal,0,1,0,0,0
291,Centro,Rapida,0,0,0,0,1
292,Centro,Normal,0,1,0,0,0
293,Sur,Normal,0,0,0,0,1
294,Centro,Normal,0,0,0,1,0
295,Centro,Normal,1,1,0,1,0
296,Centro,Normal,0,1,0,0,0
297,Norte,Normal,0,1,0,0,0
298,Norte,Normal,1,1,0,0,0
299,Centro,Normal,0,1,0,0,0
300,Centro,Normal,1,0,0,1,0
301,Centro,Rapida,0,1,0,0,0
302,Centro,Rapida,0,0,0,0,0
303,Norte,Normal,0,1,0,0,1
304,Centro,Normal,0,0,0,0,0
305,Norte,Rapida,0,0,0,0,0
306,Centro,Rapida,0,1,0,0,0
307,Centro,Rapida,0,0,0,0,0
308,Centro,Normal,1,1,0,1,0
309,Centro,Normal,0,0,0,0,0
310,Norte,Rapida,1,1,1,0,0
311,Norte,Rapida,0,1,0,0,0
312,Sur,Normal,0,0,1,0,0
313,Centro,Rapida,0,0,0,0,0
314,Sur,Normal,0,1,0,0,0
315,Sur,Rapida,0,1,0,0,0
316,Norte,Normal,0,1,0,0,0
317,Centro,Normal,1,1,0,0,0
318,Centro,Normal,0,1,1,0,1
319,Norte,Normal,0,1,0,1,1
320,Norte,Rapida,0,1,0,0,0
321,Sur,Normal,0,1,0,0,0
322,Sur,Normal,1,1,0,1,0
323,Centro,Normal,0,0,0,1,0
324,Centro,Normal,1,0,0,1,0
325,Centro,Normal,1,0,0,0,0
326,Centro,Normal,1,0,0,0,0
327,Centro,Normal,0,1,0,1,0
328,Centro,Normal,0,0,0,0,0
329,Sur,Normal,0,0,0,1,0
330,Sur,Normal,0,0,0,1,0
331,Centro,Normal,0,1,1,0,0
332,Sur,Normal,0,0,0,0,0
333,Centro,Normal,0,0,0,0,0
334,Centro,Rapida,0,1,0,0,1
335,Centro,Rapida,0,0,0,0,0
336,Centro,Normal,1,1,0,0,0
337,Sur,Rapida,0,1,0,0,0
338,Centro,Normal,0,1,0,1,0
339,Sur,Normal,0,0,0,0,0
340,Sur,Rapida,0,1,0,0,0
341,Sur,Normal,1,1,0,1,0
342,Sur,Rapida,0,1,0,0,0
343,Norte,Normal,0,1,0,1,0
344,Centro,Rapida,1,0,0,0,0
345,Centro,Normal,0,1,0,0,0
346,Centro,Normal,0,0,0,0,0
347,Centro,Normal,0,0,0,0,0
348,Norte,Rapida,0,0,0,1,0
349,Norte,Normal,0,1,0,0,0
350,Sur,Normal,0,1,0,1,1
351,Norte,Normal,0,1,0,0,0
352,Centro,Rapida,0,1,0,1,0
353,Norte,Normal,0,1,0,0,0
354,Centro,Rapida,0,0,0,0,1
355,Norte,Rapida,0,1,0,0,0
356,Centro,Rapida,1,1,0,0,0
357,Norte,Normal,1,1,0,0,0
358,Centro,Normal,0,1,0,0,0
359,Norte,Normal,1,0,0,0,0
360,Centro,Normal,0,1,0,0,0
361,Centro,Normal,0,1,0,1,0
362,Norte,Normal,1,0,0,0,0
363,Sur,Normal,1,1,1,0,0
364,Sur,Normal,1,0,0,0,1
365,Sur,Normal,1,1,1,1,0
366,Centro,Normal,0,0,0,0,0
367,Sur,Rapida,0,1,0,0,0
368,Norte,Normal,0,1,0,1,1
369,Sur,Rapida,1,0,1,0,0
370,Norte,Normal,0,1,0,0,0
371,Centro,Normal,0,0,0,0,0
372,Norte,Normal,0,0,0,0,0
373,Sur,Normal,0,1,1,1,0
374,Centro,Normal,0,1,0,0,0
375,Sur,Rapida,0,0,0,0,0
376,Norte,Normal,1,1,0,1,0
377,Sur,Normal,0,0,0,0,0
378,Centro,Normal,0,1,0,0,0
379,Norte,Normal,1,1,0,0,0
380,Centro,Normal,0,1,0,0,1
381,Norte,Normal,1,0,0,0,0
382,Centro,Normal,0,0,0,0,0
383,Centro,Normal,0,0,0,0,0
384,Norte,Normal,0,0,0,0,0
385,Centro,Rapida,0,0,0,0,0
386,Centro,Normal,0,1,0,0,0
387,Norte,Normal,0,0,0,1,0
388,Sur,Normal,0,1,0,0,0
389,Centro,Rapida,0,1,0,0,0
390,Norte,Normal,1,0,1,1,0
391,Sur,Rapida,0,0,0,0,0
392,Centro,Normal,0,1,0,0,0
393,Centro,Normal,0,1,0,0,0
394,Centro,Rapida,1,0,0,0,0
395,Centro,Normal,1,0,0,0,1
396,Centro,Normal,0,0,0,1,0
397,Norte,Rapida,0,0,0,0,0
398,Sur,Normal,0,1,0,0,0
399,Centro,Rapida,1,1,0,0,0
400,Centro,Rapida,1,1,0,0,0
