pieza_id,diametro,tiempo_reparacion,hora_llegada,peso
77,49.972,3.497,0.097,102.458
78,49.681,6.196,1.637,102.488
79,49.737,3.276,1.177,98.649
80,50.002,20.606,0.761,101.97
81,49.944,13.666,1.272,98.711
82,50.101,7.024,1.204,100.601
83,49.921,1.027,1.129,101.274
84,50.129,4.063,1.874,96.598
85,49.744,1.618,0.78,99.326
86,50.024,22.465,1.155,95.087
87,49.967,0.816,1.215,101.721
88,49.858,1.493,1.333,97.923
89,50.068,0.038,0.273,96.785
90,50.02,3.866,1.812,100.742
91,49.8,9.924,0.818,98.128
92,50.199,0.394,0.622,96.492
93,50.421,2.199,1.277,102.944
94,49.85,7.313,1.597,103.077
95,49.946,0.734,1.982,96.689
96,49.997,3.087,0.716,99.103
97,50.139,5.496,0.671,95.817
98,50.145,0.847,0.449,99.788
99,50.078,7.055,0.984,98.516
100,50.202,8.024,0.351,100.254
101,49.911,8.086,1.417,98.507
102,49.932,13.464,0.321,100.212
103,50.1,3.366,0.759,97.037
104,49.969,8.453,1.35,103.734
105,49.87,2.873,1.862,101.807
106,49.957,14.076,0.256,102.434
107,49.991,1.588,0.046,98.174
108,49.57,2.341,1.837,99.34
109,49.779,0.822,0.1,102.764
110,50.028,13.421,1.88,100.645
111,50.161,3.313,1.942,102.842
112,50.07,9.424,1.612,100.958
113,50.155,3.782,1.295,98.971
114,49.956,5.225,1.532,101.02
115,49.617,1.063,1.507,103.269
116,50.02,4.363,1.094,102.86
117,49.937,21.216,0.96,101.422
118,50.088,0.754,1.982,98.131
119,50.091,19.498,1.769,99.351
120,49.884,1.454,1.213,97.921
121,50.172,8.778,1.565,100.718
122,50.198,0.434,1.333,101.593
123,49.939,2.874,1.814,100.533
124,50.169,2.354,1.322,100.59
125,49.91,2.033,0.202,99.942
126,50.129,3.656,0.279,102.876
127,49.996,7.022,0.066,99.187
128,49.647,0.003,1.122,98.668
129,50.096,1.221,1.226,103.71
130,49.979,10.651,1.263,101.459
131,49.796,0.319,0.881,98.021
132,50.063,0.654,1.491,99.181
133,50.022,1.94,1.573,99.884
134,50.19,4.84,0.973,100.646
135,50.048,3.763,1.598,99.64
136,49.855,1.803,1.824,101.476
137,49.897,1.142,0.106,99.748
138,50.177,0.034,1.727,100.547
139,50.041,3.896,1.647,101.146
140,49.92,4.062,0.453,101.056
141,49.585,0.609,1.029,97.673
142,49.821,16.601,0.995,101.921
143,50.136,8.03,0.478,98.432
144,50.159,0.253,1.825,100.899
145,50.32,12.103,1.395,100.469
146,50.087,0.468,1.405,98.621
147,49.472,1.63,1.922,97.275
148,50.058,1.524,0.532,97.476
149,50.151,0.44,1.826,101.277
150,50.288,1.198,0.29,99.027
151,49.908,1.249,0.577,103.015
152,50.023,1.263,0.684,98.174
153,50.254,0.882,0.902,99.421
154,49.843,3.182,1.788,101.807
155,50.01,0.687,1.318,100.286
156,50.064,14.955,1.442,99.392
157,49.804,4.952,1.069,101.456
158,49.728,10.526,0.311,101.425
159,49.956,13.25,1.974,98.543
160,49.878,10.526,0.586,97.587
161,50.034,3.279,1.856,99.796
162,50.331,3.432,1.828,98.543
163,49.968,4.719,1.722,100.76
164,50.261,1.987,0.84,102.737
165,50.075,4.987,0.113,103.601
166,49.799,3.124,0.091,102.458
167,49.777,7.297,1.072,97.671
168,49.7,5.386,0.255,102.565
169,49.857,0.293,1.224,100.183
170,49.848,1.356,1.958,99.743
171,50.039,10.371,0.118,98.964
172,50.164,0.75,0.23,96.824
173,49.701,5.844,1.945,96.898
174,49.656,0.895,0.284,99.062
175,49.894,12.74,0.451,101.293
176,49.914,0.715,0.041,97.24
177,50.056,10.223,0.987,97.945
178,50.198,7.459,0.454,100.542
179,49.845,4.305,1.082,97.807
180,49.636,3.337,1.074,100.768
181,49.772,14.52,1.611,101.996
182,49.768,1.418,1.339,102.12
183,49.857,0.916,0.284,101.555
184,49.928,8.075,1.51,99.387
185,50.211,5.262,0.865,100.886
186,50.0,4.818,1.459,99.386
187,49.756,0.179,0.745,100.255
188,49.942,3.592,0.92,101.89
189,49.969,4.712,1.674,98.553
190,49.622,13.357,1.854,99.121
191,49.9,1.13,1.399,96.966
192,50.023,2.819,0.934,99.655
193,50.186,1.093,1.511,99.377
194,50.003,1.146,0.96,100.341
195,49.822,2.786,0.724,102.942
196,50.33,0.766,1.371,101.693
197,49.803,3.088,0.256,98.738
198,50.452,3.564,0.079,102.731
199,50.018,1.541,1.236,100.29
200,50.014,2.11,1.735,95.645
201,50.14,7.582,1.886,101.817
202,49.771,2.188,0.998,102.47
203,49.929,2.567,1.936,105.349
204,49.9,3.137,1.822,98.632
205,49.985,1.125,0.516,99.927
206,49.912,4.439,0.692,96.402
207,49.766,3.684,1.754,100.542
208,49.817,9.541,0.569,102.788
209,50.14,5.024,0.598,100.829
210,49.668,3.065,1.707,98.8
211,50.016,7.302,1.654,100.514
212,49.765,3.907,0.853,102.81
213,49.467,4.263,1.995,100.603
214,50.033,0.337,0.121,100.394
215,49.671,2.574,0.668,99.478
216,49.828,15.846,0.212,99.837
217,50.056,5.14,1.048,102.384
218,49.933,3.533,1.894,98.067
219,50.032,1.122,1.555,101.269
220,50.039,0.547,1.3,98.071
221,50.16,1.105,1.18,99.842
222,50.053,0.538,0.008,94.98
223,49.811,20.798,1.898,103.184
224,50.251,8.786,0.459,103.5
225,50.225,9.629,1.115,99.714
226,50.048,0.481,1.789,95.301
227,50.121,11.98,1.894,97.346
228,49.815,0.663,1.439,97.505
229,49.918,23.785,0.191,102.058
230,50.033,9.907,1.64,102.19
231,49.749,0.16,0.471,101.501
232,50.088,6.009,1.678,101.382
233,49.838,0.677,1.816,95.681
234,50.401,2.786,1.147,101.02
235,50.145,0.092,0.269,98.921
236,49.969,0.098,0.231,98.949
237,50.113,10.264,1.801,99.901
238,49.926,3.172,1.976,99.737
239,50.134,2.178,1.154,100.269
240,49.713,11.426,1.294,100.811
241,50.253,1.33,0.199,101.713
242,50.139,12.151,1.976,99.418
243,49.962,1.709,0.659,101.488
244,50.198,10.817,1.304,97.895
245,50.028,15.45,0.519,98.838
246,50.154,6.674,0.128,102.589
247,50.385,7.135,0.144,101.291
248,50.025,1.152,1.082,97.589
249,49.622,13.458,0.65,99.777
250,49.998,9.75,1.383,99.57
251,50.016,9.011,1.677,98.19
252,50.143,1.645,0.191,100.309
253,50.135,2.3,0.61,96.997
254,50.025,1.412,0.655,101.119
255,49.955,4.313,0.023,101.718
256,49.521,9.354,1.387,99.037
257,50.274,3.593,1.048,96.895
258,50.207,1.691,1.395,100.211
259,49.936,1.119,0.679,98.913
260,50.134,7.683,1.694,100.18
261,49.787,1.811,0.409,103.152
262,49.881,3.643,0.609,101.738
263,49.991,1.613,0.589,100.642
264,49.923,3.175,1.977,102.929
265,49.617,4.159,0.521,103.179
266,49.702,4.754,0.513,101.824
267,50.192,8.252,0.523,97.816
268,49.8,1.52,0.619,100.337
269,50.167,13.741,0.402,96.087
270,49.602,0.507,0.196,100.293
271,49.847,0.168,0.413,104.915
272,49.865,9.117,0.568,100.48
273,50.175,1.189,1.176,99.899
274,49.802,1.988,0.918,103.002
275,50.223,0.91,0.873,100.41
276,49.893,0.292,1.277,100.358
277,50.247,0.933,0.594,99.874
278,49.672,8.089,1.732,102.258
279,49.73,4.311,1.664,102.062
280,50.106,9.253,0.416,102.497
281,49.797,1.652,1.031,97.191
282,50.244,6.681,0.46,101.832
283,49.89,13.071,0.81,101.998
284,49.921,4.509,0.607,99.415
285,50.09,12.186,0.165,101.697
286,50.16,9.508,1.829,98.364
287,49.867,4.309,0.396,99.294
288,50.137,8.895,1.163,99.939
289,50.071,3.453,1.95,98.91
290,50.346,10.072,1.594,98.393
291,49.874,0.315,1.048,101.005
292,49.985,0.266,1.816,98.288
293,49.851,3.093,1.129,101.213
294,49.901,0.815,0.694,98.875
295,49.987,2.658,1.245,98.877
296,50.049,0.482,1.322,102.089
297,49.986,2.069,1.093,98.278
298,50.232,0.605,0.253,101.818
299,49.989,0.714,1.933,97.94
300,50.037,10.704,1.534,100.726
