turno_id,linea,fallas,tiempo_ciclo,costo
279,B,0,18.38,500
280,A,1,18.1,520
281,A,0,5.68,500
282,A,1,13.8,520
283,B,0,4.62,500
284,A,1,7.57,520
285,B,3,11.38,560
286,A,0,10.27,500
287,B,2,8.17,540
288,B,0,7.97,500
289,B,0,10.99,500
290,B,0,4.62,500
291,A,0,10.22,500
292,B,0,5.43,500
293,A,0,3.71,500
294,A,0,8.37,500
295,A,0,7.03,500
296,A,2,7.94,540
297,B,0,7.71,500
298,A,4,14.05,580
299,B,1,10.4,520
300,B,1,7.44,520
